thema;bron;Deelmodel;attribuut;waarde;label-nl;definitie;naam waardelijst;URL
algemeen;imkl-be;wion;imkl:annotatieType;annotatiePijlpunt;annotatie pijl;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatiePijlpunt
algemeen;imkl-be;wion;imkl:annotatieType;annotatieLijn;annotatie lijn;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLijn
algemeen;imkl-be;wion;imkl:annotatieType;annotatieLabel;annotatie label;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLabel
algemeen;imkl-be;wion;bestandMediaType;PNG;PNG;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PNG
algemeen;imkl-be;wion;bestandMediaType;PDF;PDF;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PDF
algemeen;imkl-be;wion;bestandMediaType;JPEG;JPEG;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/JPEG
algemeen;imkl-be;wion;bestandMediaType;TIFF;TIFF;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/TIFF
algemeen;imkl-nl;wion;bijlageType;algemeen;algemeen;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/algemeen
algemeen;imkl-nl;wion;bijlageType;eisVoorzorgsmaatregel;eis voorzorgsmaatregel;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/eisVoorzorgsmaatregel
algemeen;imkl-nl;wion;bijlageType;nietBetrokken;niet betrokken;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/nietBetrokken
algemeen;inspire;wion;us-net-common:currentStatus;disused;buiten gebruik;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/disused
algemeen;inspire;wion;us-net-common:currentStatus;functional;functioneel;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/functional
algemeen;inspire;wion;us-net-common:currentStatus;projected;geprojecteerd;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/projected
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot30cm;tot 30 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot30cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot50cm;tot 50 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot50cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot100cm;tot 100 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot100cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;onbekend;onbekend;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/onbekend
algemeen;imkl-nl;wion;imkl:diepteAangrijpingspunt;bovenkant;bovenkant;definitie;DiepteAangrijpingspuntValue;http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/bovenkant
algemeen;imkl-nl;wion;imkl:diepteAangrijpingspunt;binnenonderkantBuis;binnenonderkant buis;definitie;DiepteAangrijpingspuntValue;http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/binnenonderkantBuis
algemeen;imkl-nl;wion;imkl:extraInfoType;aansluiting;aansluiting;definitie;ExtraDetailInfoTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/aansluiting
algemeen;imkl-nl;wion;imkl:extraInfoType;lengteprofiel;lengteprofiel;definitie;ExtraDetailInfoTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/lengteprofiel
algemeen;imkl-nl;wion;imkl:extraInfoType;gestuurdeBoring;gestuurde boring;definitie;ExtraDetailInfoTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/gestuurdeBoring
algemeen;imkl-nl;wion;imkl:extraInfoType;detail;detail;definitie;ExtraDetailInfoTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/detail
algemeen;imkl-nl;wion;imkl:extraInfoType;dwarsprofiel;dwarsprofiel;definitie;ExtraDetailInfoTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/dwarsprofiel
algemeen;imkl-be;wion;imkl:extraTopografieType;eigen;eigen;definitie;ExtraTopografieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraTopografieTypeValue/eigen
algemeen;imkl-be;wion;imkl:extraTopografieType;ontwerp;ontwerp;definitie;ExtraTopografieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ExtraTopografieTypeValue/ontwerp
algemeen;imkl-nl;wion;;eigenaar;eigenaar;definitie;PartyRoleExtendedValue;http://www.geonovum.nl/imkl2015/1.0/def/PartyRoleExtendedValue/eigenaar
algemeen;imkl-nl;wion;;exploitant;exploitant;definitie;PartyRoleExtendedValue;http://www.geonovum.nl/imkl2015/1.0/def/PartyRoleExtendedValue/exploitant
algemeen;imkl-be;wion;geoNauwkeurigheidXY;tot30cm;tot 30 cm;definitie;NauwkeurigheidXYvalue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot30cm
algemeen;imkl-be;wion;geoNauwkeurigheidXY;tot50cm;tot 50 cm;definitie;NauwkeurigheidXYvalue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot50cm
algemeen;imkl-be;wion;geoNauwkeurigheidXY;tot100cm;tot 100 cm;definitie;NauwkeurigheidXYvalue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot100cm
algemeen;imkl2015;wion;imkl:maatvoeringsType;maatvoeringshulplijn;maatvoeringshulplijn;definitie;MaatvoeringsTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringshulplijn
algemeen;imkl2015;wion;imkl:maatvoeringsType;maatvoeringslijn;maatvoeringslijn;definitie;MaatvoeringsTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringslijn
algemeen;imkl2015;wion;imkl:maatvoeringsType;maatvoeringspijlpunt;maatvoeringspijlpunt;definitie;MaatvoeringsTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringspijlpunt
algemeen;imkl2015;wion;imkl:maatvoeringsType;maatvoeringslabel;maatvoeringslabel;definitie;MaatvoeringsTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringslabel
algemeen;imkl-nl;wion;imkl:thema;buisleidingGevaarlijkeInhoud;buisleiding gevaarlijke inhoud;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/buisleidingGevaarlijkeInhoud
algemeen;imkl-nl;wion;imkl:thema;datatransport;;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/datatransport
algemeen;imkl-nl;wion;imkl:thema;gasLageDruk;gas lage druk;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/gasLageDruk
algemeen;imkl-nl;wion;imkl:thema;gasHogeDruk;gas hoge druk;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/gasHogeDruk
algemeen;imkl-nl;wion;imkl:thema;petrochemie;(petro)chemie;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/petrochemie
algemeen;imkl-nl;wion;imkl:thema;landelijkHoogspanningsnet;landelijk hoogspanningsnet;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/landelijkHoogspanningsnet
algemeen;imkl-nl;wion;imkl:thema;hoogspanning;hoogspanning;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/hoogspanning
algemeen;imkl-nl;wion;imkl:thema;laagspanning;laagspanning;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/laagspanning
algemeen;imkl-nl;wion;imkl:thema;middenspanning;middenspanning;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/middenspanning
algemeen;imkl-nl;wion;imkl:thema;rioolVrijverval;riool vrijverval;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/rioolVrijverval
algemeen;imkl-nl;wion;imkl:thema;rioolOnderDruk;riool onder druk;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/rioolOnderDruk
algemeen;imkl-nl;wion;imkl:thema;warmte;warmte;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/warmte
algemeen;imkl-nl;wion;imkl:thema;water;water;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/water
algemeen;imkl-nl;wion;imkl:thema;wees;wees;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/wees
algemeen;imkl-nl;wion;imkl:thema;overig;overig;definitie;Thema;http://www.geonovum.nl/imkl2015/1.0/def/Thema/overig
algemeen;inspire;wion;utilityDeliveryType;collection;inzameling;definitie;UtilityDeliveryTypeValue;http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/collection
algemeen;inspire;wion;utilityDeliveryType;distribution;distributie;definitie;UtilityDeliveryTypeValue;http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/distribution
algemeen;inspire;wion;utilityDeliveryType;private;particulier;definitie;UtilityDeliveryTypeValue;http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/private
algemeen;inspire;wion;utilityDeliveryType;transport;vervoer;definitie;UtilityDeliveryTypeValue;http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/transport
algemeen;inspire;wion;us-net-common:utilityNetworkType;electricity;elektriciteit;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/electricity
algemeen;inspire;wion;us-net-common:utilityNetworkType;oilGasChemical;olie, gas of chemicalin;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/oilGasChemical
algemeen;inspire;wion;us-net-common:utilityNetworkType;sewer;riolering;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/sewer
algemeen;inspire;wion;us-net-common:utilityNetworkType;telecommunications;telecommunicatie;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/telecommunications
algemeen;inspire;wion;us-net-common:utilityNetworkType;thermal;thermisch;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/thermal
algemeen;inspire;wion;us-net-common:utilityNetworkType;water;water;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/water
algemeen;inspire;wion;us-net-common:utilityNetworkType;crossTheme;crossTheme;definitie;UtilityNetworkTypeValue;http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/crossTheme
algemeen;inspire;wion;us-net-common:warningType;concretePaving;betonnen plaveisel;definitie;WarningTypeValue;http://inspire.ec.europa.eu/codelist/WarningTypeValue/concretePaving
algemeen;inspire;wion;us-net-common:warningType;net;net;definitie;WarningTypeValue;http://inspire.ec.europa.eu/codelist/WarningTypeValue/net
algemeen;inspire;wion;us-net-common:warningType;tape;lint;definitie;WarningTypeValue;http://inspire.ec.europa.eu/codelist/WarningTypeValue/tape
;imkl-nl;rrb;;aardgasleidingNietNEN;aardgasleiding niet NEN;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/aardgasleidingNietNEN
;imkl-nl;rrb;;K1-leiding;K1-leiding;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/K1-leiding
;imkl-nl;rrb;;K2-leiding;K2-leiding;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/K2-leiding
;imkl-nl;rrb;;K3-leiding;K3-leiding;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/K3-leiding
;imkl-nl;rrb;;defensieleiding;defensieleiding;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/defensieleiding
;;rrb;;brandbaar;brandbaar;definitie;EffectScenarionType;http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/brandbaar
;;rrb;;explosief;explosief;definitie;EffectScenarionType;http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/explosief
;;rrb;;toxisch;toxisch;definitie;EffectScenarionType;http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/toxisch
;;rrb;;scherfwerking;scherfwerking;definitie;EffectScenarionType;http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/scherfwerking
;imkl-nl;rrb;;aargasleidingNEN3650;aargasleiding NEN3650;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/aargasleidingNEN3650
;imkl-nl;wion;;toren;toren;definitie;ContainerLeidingElementTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/toren
;imkl-nl;wion;;mast;mast;definitie;ContainerLeidingElementTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/mast
;imkl-nl;wion;;mangat;mangat;definitie;ContainerLeidingElementTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/mangat
;imkl-nl;wion;;kast;kast;definitie;ContainerLeidingElementTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/kast
;imkl-nl;wion;;technischGebouw;technisch gebouw;definitie;ContainerLeidingElementTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/technischGebouw
;imkl-nl;wion;;overig;overig;definitie;BuisleidingenType;http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/overig
elekt-enex-lian;imkl-be;wion;us-net-common:appurtenanceType;aarding;aarding;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/aarding
elekt-enex-lian;imkl-be;wion;us-net-common:appurtenanceType;mof;mof;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/mof
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;hoogteligging;hoogteligging;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/hoogteligging
elekt-enex-lian;imkl-nl?;wion;us-net-common:appurtenanceType;adrespunt;Adrespunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/adrespunt
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;connectionBox;aansluitkast;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/connectionBox
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;deliveryPoint;punt van levering;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/deliveryPoint
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;generator;generator;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/generator
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;mainStation;centrale;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/mainStation
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;netStation;netstation;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/netStation
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;streetLight;straatlantaren;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/streetLight
elekt-enex-lian;inspire;wion;us-net-common:appurtenanceType;subStation;onderstation;definitie;ElectricityAppurtenanceTypeValue;http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/subStation
elekt-enex-lian;;wion;us-net-common:appurtenanceType;puntVanLevering;punt van levering;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/puntVanLevering
elekt-enex-lian;;wion;us-net-common:appurtenanceType;geulmof;geulmof;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/geulmof
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbMeetpunt;kb meetpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbMeetpunt
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbInstallatie;kb installatie;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbInstallatie
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbEindpunt;kb eindpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbEindpunt
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbContact;kb contact;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbContact
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;hoogbouwkoppelpunt;hoogbouwkoppelpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/hoogbouwkoppelpunt
telecom;imkl2015;wion;us-net-common:appurtenanceType;antenna;antenna;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/antenna
telecom;imkl2015;wion;us-net-common:appurtenanceType;termination;termination;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/termination
telecom;imkl2015;wion;us-net-common:appurtenanceType;handhole;handhole;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/handhole
telecom;imkl2015;wion;us-net-common:appurtenanceType;mof;mof;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/mof
telecom;imkl2015;wion;us-net-common:appurtenanceType;verzameltermOndergrondseLeidingelementenOpnemen;verzameltermOndergrondseLeidingelementenOpnemen;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/verzameltermOndergrondseLeidingelementenOpnemen
telecom;imkl2015;wion;us-net-common:appurtenanceType;kabelverdeler;kabelverdeler;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/kabelverdeler
telecom;imkl2015;wion;us-net-common:appurtenanceType;Stijgleiding;Stijgleiding;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/Stijgleiding
telecom;imkl2015;wion;us-net-common:appurtenanceType;GTWPOpnemen;GTWPOpnemen;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/GTWPOpnemen
